Emoji,Neutral
😐,76
😑,85
😶,34
😏,676
😣,35
😥,83
😮,33
😯,22
😪,105
😫,81
😴,170
😌,157
😛,50
😜,333
😝,155
😒,266
😓,59
😔,263
😕,66
